code,product_name_en,brands,countries,energy-kcal_value,energy-kcal_unit,fat_value,fat_unit,saturated-fat_value,saturated-fat_unit,carbohydrates_value,carbohydrates_unit,sugars_value,sugars_unit,fiber_value,fiber_unit,proteins_value,proteins_unit,salt_value,protein_per_100kcal,hover_label,z_kcal,score_kcal_0_100,z_proteinpd,score_proteinpd_0_100,z_sugar,score_sugar_0_100,z_fiber,score_fiber_0_100,z_satfat,score_satfat_0_100,cutting_score_0_100
722252130228,Chocolate Almond Fudge,CLIF BAR,"Frankreich, Deutschland, Irland",404.0,kcal,9.0,g,1.9,g,63.0,g,29.0,g,4.0,g,14.0,g,0.59,3.4653465346534653,Chocolate Almond Fudge | CLIF BAR,-0.8195469732375742,20.623720666758942,-1.7050049112511316,4.409675422943121,-1.7842792297866503,3.718915176403997,-0.569649320394396,28.445778491078467,0.8013109233138491,78.85241656515696,16.15070084841322
5391532124254,Fulfil white chocolate Cookies & clean,Ferrero,Irland,198.0,kcal,7.6,g,0.0,,19.0,g,0.0,,4.0,g,18.0,g,0.0975,9.090909090909092,Fulfil white chocolate Cookies & clean | Ferrero,1.149645617190018,87.48550692175723,0.5309497118026268,70.22731861364704,0.9363007920423193,82.54408297571491,-0.569649320394396,28.445778491078467,1.2270780942562918,89.01033798372141,77.65201680317432
5060751994763,Nutty Chocolate Caramel,Optimum Nutrition,"Ireland, United Kingdom",256.0,kcal,9.7,g,4.5,g,20.0,g,6.2,g,11.0,g,20.0,g,0.0,7.8125,Nutty Chocolate Caramel | Optimum Nutrition,0.5952127519239968,72.41493662951744,0.02282902371365998,50.910667176072444,0.35465954599612576,63.85776695655092,0.3319311615389452,63.00293801935797,0.21868216307682234,58.6551177747903,63.39749765818232
855569110574,CHOCOLATE COVERED PEANUT BUTTER,PERFECT BAR mini,"Ireland, World",150.0,kcal,10.0,g,3.0,g,12.0,g,8.0,g,2.0,g,5.0,g,0.0875,3.3333333333333335,CHOCOLATE COVERED PEANUT BUTTER | PERFECT BAR mini,1.6084866091343113,94.61356766735703,-1.7574753130721268,3.9418413059711996,0.18579595843432764,57.36976129732747,-0.827243743803922,20.404946119797124,0.5548141401366455,71.04891028388364,55.48437804431242
8683851540875,Protein Bar,Delly,Ireland,362.5,kcal,10.4999995231628,g,6.99999988079071,g,40.2500009536743,g,1.00000001490116,g,1.25,g,37.7500009536743,g,0.0,10.413793366530841,Protein Bar | Delly,-0.4228406989524039,33.62057456826458,1.056747653299585,85.46866148253763,0.8424876864433963,80.02424853552637,-0.9238416525824943,17.778438261943926,-0.34153777197617996,36.63493872405489,53.69152817259032
5390691017964,Chocolate Caramel & Cookie Dough Vitamin & Protein Bar,Fulfil,"Ireland, Switzerland",195.0,kcal,7.2,g,3.6,g,14.9,g,1.8,g,5.0,g,20.1,g,0.3725,10.307692307692308,Chocolate Caramel & Cookie Dough Vitamin & Protein Bar | Fulfil,1.1783231791865363,88.06661047680709,1.0145763769785867,84.48460976219604,0.7674372044805211,77.85891923036809,-0.4408521086896329,32.966003325786495,0.42036134931271624,66.288925054945,82.24108176018979
602652432187,Caramel Peanut Breakfast Protein Bar,Kind,Ireland,440.0,kcal,18.0,g,2.0,g,54.0,g,16.0,g,6.0,g,16.0,g,0.7,3.6363636363636362,Caramel Peanut Breakfast Protein Bar | Kind,-1.1636777171957942,12.227732145684811,-1.6370318907102976,5.0811903140088654,-0.564708875173664,28.61358982756338,-0.31205489698486993,37.749940154419356,0.7789021248431943,78.19813139124811,14.220038423401915
5000159528511,Dark chocolate nuts & sea salt,KIND,"France, Irlande, Royaume-Uni",209.0,kcal,15.0,g,3.0,g,9.6,g,6.4,g,5.2,g,6.8,g,0.295,3.2535885167464116,Dark chocolate nuts & sea salt | KIND,1.0444945565361174,85.18716818115453,-1.7891709505357658,3.679364424805404,0.33589692515592595,63.15257020728242,-0.4150926663486803,33.90370339253032,0.5548141401366455,71.04891028388364,51.836205363764435
5060811383254,Oreo Protein Bar,Grenade,"Belgium, Ireland, Netherlands, United Kingdom",233.0,kcal,10.02,g,5.598,g,20.0,g,1.002,g,1.2,g,21.0,g,0.3495,9.012875536480687,Oreo Protein Bar | Grenade,0.8150740605639707,79.24850407358907,0.4999342382330568,69.14393084554219,0.8423000616329183,80.01899917148802,-0.9302815131677324,17.611267350264452,-0.02736644413096818,48.90837309617386,71.14969501692465
5391532120096,Chocolate Hazelnut Whip Flavour Vitamin & Protein Bar,FULFIL,"France, Ireland",383.636363636364,kcal,16.9090909090909,g,8.36363636363637,g,29.0909090909091,g,25.2727272727273,g,0.0,g,25.2727272727273,g,0.0,6.587677725118483,Chocolate Hazelnut Whip Flavour Vitamin & Protein Bar | FULFIL,-0.6248871584733322,26.60225605391312,-0.46399287197305206,32.132642627643065,-1.4346122050374748,7.569881734444239,-1.084838167213448,13.89966689166578,-0.6471123232893904,25.877962509463487,26.61206473948214
